Htemp,Ltemp,Humidity,Pressure,Yield
74,19,61,30.23,7340
84,17,72,30.16,7340
86,43,67,29.97,7340
87,50,70,30.07,7340
98,64,67,29.98,7340
101,69,67,29.96,7340
102,63,65,29.99,7340
98,54,63,30.01,7340
97,45,63,30.07,7340
78,30,73,30.14,7340
75,27,57,30.11,6920
87,32,65,30,6920
83,43,64,30.01,6920
89,51,67,30.01,6920
97,66,68,29.99,6920
103,71,70,30,6920
100,68,75,30,6920
95,56,65,30.05,6920
89,44,78,30.1,6920
82,29,77,30.15,6920
81,25,76,30.01,7490
85,29,71,30.14,7490
84,43,78,29.94,7490
88,47,77,29.91,7490
92,58,82,29.94,7490
96,66,80,30.02,7490
95,63,85,29.99,7490
92,55,74,30.02,7490
90,29,73,30.06,7490
83,29,75,30.11,7490
79,20,86,30.17,7520
81,32,67,30.04,7520
83,29,70,30.02,7520
92,57,76,29.96,7520
97,63,74,29.94,7520
101,67,77,30.01,7520
95,66,82,30.02,7520
94,55,86,30.02,7520
89,37,83,30.07,7520
70,24,77,30.09,7520
77,21,78,30.08,7480
76,19,65,30.17,7480
86,34,71,29.95,7480
90,50,77,29.93,7480
92,57,74,29.94,7480
95,62,77,30,7480
98,64,77,29.96,7480
98,66,73,30.03,7480
94,33,75,30.02,7480
70,18,75,30.14,7480
73,22,73,30.1,7500
88,34,76,30.09,7500
84,34,73,29.96,7500
87,45,73,29.98,7500
94,61,74,29.96,7500
94,71,76,29.96,7500
97,65,72,29.95,7500
90,50,78,30.03,7500
84,38,78,30.07,7500
80,32,72,30.19,7500
