Date,Htemp,Ltemp,Humidity,Pressure,Yield
15-Feb,74,19,61,30.23,7340
15-Mar,84,17,72,30.16,7340
15-Apr,86,43,67,29.97,7340
15-May,87,50,70,30.07,7340
15-Jun,98,64,67,29.98,7340
15-Jul,101,69,67,29.96,7340
15-Aug,102,63,65,29.99,7340
15-Sep,98,54,63,30.01,7340
15-Oct,97,45,63,30.07,7340
15-Nov,78,30,73,30.14,7340
16-Feb,75,27,57,30.11,6920
16-Mar,87,32,65,30,6920
16-Apr,83,43,64,30.01,6920
16-May,89,51,67,30.01,6920
16-Jun,97,66,68,29.99,6920
16-Jul,103,71,70,30,6920
16-Aug,100,68,75,30,6920
16-Sep,95,56,65,30.05,6920
16-Oct,89,44,78,30.1,6920
16-Nov,82,29,77,30.15,6920
17-Feb,81,25,76,30.01,7490
17-Mar,85,29,71,30.14,7490
17-Apr,84,43,78,29.94,7490
17-May,88,47,77,29.91,7490
17-Jun,92,58,82,29.94,7490
17-Jul,96,66,80,30.02,7490
17-Aug,95,63,85,29.99,7490
17-Sep,92,55,74,30.02,7490
17-Oct,90,29,73,30.06,7490
17-Nov,83,29,75,30.11,7490
18-Feb,79,20,86,30.17,7520
18-Mar,81,32,67,30.04,7520
18-Apr,83,29,70,30.02,7520
18-May,92,57,76,29.96,7520
18-Jun,97,63,74,29.94,7520
18-Jul,101,67,77,30.01,7520
18-Aug,95,66,82,30.02,7520
18-Sep,94,55,86,30.02,7520
18-Oct,89,37,83,30.07,7520
18-Nov,70,24,77,30.09,7520
19-Feb,77,21,78,30.08,7480
19-Mar,76,19,65,30.17,7480
19-Apr,86,34,71,29.95,7480
19-May,90,50,77,29.93,7480
19-Jun,92,57,74,29.94,7480
19-Jul,95,62,77,30,7480
19-Aug,98,64,77,29.96,7480
19-Sep,98,66,73,30.03,7480
19-Oct,94,33,75,30.02,7480
19-Nov,70,18,75,30.14,7480
20-Feb,73,22,73,30.1,7500
20-Mar,88,34,76,30.09,7500
20-Apr,84,34,73,29.96,7500
20-May,87,45,73,29.98,7500
20-Jun,94,61,74,29.96,7500
20-Jul,94,71,76,29.96,7500
20-Aug,97,65,72,29.95,7500
20-Sep,90,50,78,30.03,7500
20-Oct,84,38,78,30.07,7500
20-Nov,80,32,72,30.19,7500
21-Feb,75,4,76,30.16,7630
21-Mar,81,68,68,30.09,7630
21-Apr,83,35,67,30.01,7630
21-May,89,47,70,30.06,7630
21-Jun,96,57,74,29.97,7630
21-Jul,98,62,73,30.01,7630
21-Aug,97,65,71,30,7630
21-Sep,98,51,68,30.01,7630
21-Oct,88,43,75,29.96,7630
21-Nov,76,30,69,30.2,7630
22-Feb,71,23,63,30.22,7410
22-Mar,82,26,60,30.02,7410
22-Apr,84,35,62,29.99,7410
22-May,96,54,70,29.92,7410
22-Jun,100,62,67,29.99,7410
22-Jul,103,71,66,29.97,7410
22-Aug,103,67,72,30,7410
22-Sep,101,52,62,30.04,7410
22-Oct,92,33,56,30.06,7410
22-Nov,83,26,68,30.16,7410
